STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :mph
STR_TRACE_RESTRICT_RESET_TOOLTIP                                :{BLACK}現在の信号をリセットします (共有しているプログラムへの影響はありません)
STR_TRACE_RESTRICT_COPY_TOOLTIP                                 :{BLACK}プログラムを他の信号にコピーします{}Ctrl+クリックで他の信号のプログラムをプログラムに追加します
STR_TRACE_RESTRICT_SHARE_TOOLTIP                                :{BLACK}プログラムを他の信号と共有します
STR_TRACE_RESTRICT_UNSHARE_TOOLTIP                              :{BLACK}他の信号とのプログラムの共有を止め、プログラムのコピーを作成します
STR_TRACE_RESTRICT_SIGNAL_GUI_TOOLTIP                           :{BLACK}経路探索制限
STR_TRACE_RESTRICT_INSTRUCTION_LIST_TOOLTIP                     :{BLACK}クリックして命令を選択します{}Ctrl+クリックで命令のターゲットにスクロールします(いかなる場合でも)
STR_TRACE_RESTRICT_ERROR_CAN_T_INSERT_ITEM                      :{WHITE}命令を挿入できません
STR_TRACE_RESTRICT_ERROR_CAN_T_MODIFY_ITEM                      :{WHITE}命令を変更できません
STR_TRACE_RESTRICT_ERROR_CAN_T_REMOVE_ITEM                      :{WHITE}命令を削除できません
STR_TRACE_RESTRICT_ERROR_CAN_T_MOVE_ITEM                        :{WHITE}命令を移動できません
STR_TRACE_RESTRICT_ERROR_VALUE_TOO_LARGE                        :{WHITE}値が大きすぎます。 最大値は{DECIMAL}です
STR_TRACE_RESTRICT_ERROR_NO_PROGRAM                             :トレースする制限プログラムが存在しません
STR_TRACE_RESTRICT_ERROR_OFFSET_TOO_LARGE                       :オフセットが大きすぎます
STR_TRACE_RESTRICT_ERROR_CAN_T_CHANGE_CONDITIONALITY            :条件を変更できません
STR_TRACE_RESTRICT_ERROR_CAN_T_REMOVE_ENDIF                     :「分岐終了」を削除できません
STR_TRACE_RESTRICT_ERROR_CAN_T_SHALLOW_REMOVE_IF_ELIF           :一つ以上の「でなければもし(Else if)」、「又はもし(Or if)」又は「でなければ(Else)」のブロックがある「もし(If)」ブロックをシャロー削除できません
STR_TRACE_RESTRICT_ERROR_VALIDATE_END_CONDSTACK                 :検証失敗: condstackが終了時に空ではありません
STR_TRACE_RESTRICT_ERROR_VALIDATE_NO_IF                         :検証失敗: でなければ(Else)/分岐終了(End if)がもし(If)無しで利用されています
STR_TRACE_RESTRICT_ERROR_VALIDATE_DUP_ELSE                      :検証失敗: でなければ(Else)が重複しています
STR_TRACE_RESTRICT_ERROR_VALIDATE_ELIF_NO_IF                    :検証失敗: でなければもし(Else if)がもし(If)無しで利用されています
STR_TRACE_RESTRICT_ERROR_VALIDATE_UNKNOWN_INSTRUCTION           :検証失敗: 不明な命令
STR_TRACE_RESTRICT_ERROR_SOURCE_SAME_AS_TARGET                  :ソースとターゲットの信号が同一です
STR_TRACE_RESTRICT_ERROR_CAN_T_RESET_SIGNAL                     :{WHITE}信号をリセットできません
STR_TRACE_RESTRICT_ERROR_CAN_T_COPY_PROGRAM                     :{WHITE}プログラムをコピーできません
STR_TRACE_RESTRICT_ERROR_CAN_T_COPY_APPEND_PROGRAM              :{WHITE}プログラムを追加できません
STR_TRACE_RESTRICT_ERROR_CAN_T_SHARE_PROGRAM                    :{WHITE}プログラムを共有できません
STR_TRACE_RESTRICT_ERROR_CAN_T_UNSHARE_PROGRAM                  :{WHITE}プログラムの共有を解除できません
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_CREATE                      :{WHITE}スロットを作成できません...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_DELETE                      :{WHITE}このスロットを削除できません...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_RENAME                      :{WHITE}スロットの名前を変更できません...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_ADD_VEHICLE                 :{WHITE}このスロットに輸送機器を追加できません...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_REMOVE_VEHICLE              :{WHITE}このスロットから輸送機器を削除できません...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_SET_MAX_OCCUPANCY           :{WHITE}このスロットに最大占有率を設定できません...
STR_TRACE_RESTRICT_ERROR_COUNTER_CAN_T_CREATE                   :{WHITE}カウンタを作成できません...
STR_TRACE_RESTRICT_ERROR_COUNTER_CAN_T_DELETE                   :{WHITE}このカウンタを削除できません...
STR_TRACE_RESTRICT_ERROR_COUNTER_CAN_T_RENAME                   :{WHITE}カウンタの名前を変更できません...
STR_TRACE_RESTRICT_ERROR_COUNTER_CAN_T_MODIFY                   :{WHITE}このカウンタを変更できません...
STR_PROGRAM_SIGNAL_TOOLTIP                                      :{BLACK}プログラム事前信号
STR_ERR_PROGSIG_INVALID_INSTRUCTION                             :{WHITE}不正なIDの命令の後には命令を挿入できません
STR_ERR_PROGSIG_INVALID_OPCODE                                  :{WHITE}そのオペコードの命令を挿入できません
STR_ERR_PROGSIG_NOT_THERE                                       :{WHITE}プログラム可能な事前信号がありません
STR_ERR_PROGSIG_INVALID_SIGNAL_STATE                            :{WHITE}信号の状態が不正です
STR_ERR_PROGSIG_INVALID_CONDITION                               :{WHITE}条件が不正です
STR_ERR_PROGSIG_INVALID_CONDITION_FIELD                         :{WHITE}条件のフィールドが正しくありません
STR_ERR_PROGSIG_INVALID_COMPARATOR                              :{WHITE}比較器が正しくありません
STR_ERR_PROGSIG_INVALID_SIGNAL                                  :{WHITE}不正な信号が選択されています
STR_PROGSIG_CAPTION                                             :{WHITE}プログラム可能な事前信号プログラム
STR_PROGSIG_COND_VARIABLE_TOOLTIP                               :{BLACK}比較する条件
STR_PROGSIG_COND_COMPARATOR_TOOLTIP                             :{BLACK}変数の比較に利用する演算子
STR_PROGSIG_COND_VALUE_TOOLTIP                                  :{BLACK}変数と比較される値
STR_PROGSIG_SIGNAL_STATE_TOOLTIP                                :{BLACK}信号を状態に設定する
STR_PROGSIG_COND_SET_SIGNAL                                     :{BLACK}信号を設定
STR_PROGSIG_COND_SET_SIGNAL_TOOLTIP                             :{BLACK}見ている信号を設定する
STR_PROGSIG_GOTO_SIGNAL                                         :{BLACK}信号に飛ぶ
STR_PROGSIG_GOTO_SIGNAL_TOOLTIP                                 :{BLACK}この信号に行きます
STR_PROGSIG_INSERT_TOOLTIP                                      :{BLACK}命令を挿入します
STR_PROGSIG_REMOVE_TOOLTIP                                      :{BLACK}選択した命令を削除します
STR_PROGSIG_REMOVE_PROGRAM_TOOLTIP                              :{BLACK}プログラムの全体を削除します
STR_PROGSIG_COPY_PROGRAM_TOOLTIP                                :{BLACK}既存の信号からプログラムをコピー
STR_PROGSIG_COND_SLOT_TOOLTIP                                   :{BLACK}占有率を比較するスロット
STR_PROGSIG_COND_COUNTER_TOOLTIP                                :{BLACK}値を比較するカウンタ
STR_PROGSIG_REMOVE_PROGRAM                                      :{BLACK}プログラムの削除
STR_PROGSIG_COPY_PROGRAM                                        :{BLACK}プログラムのコピー
STR_PROGSIG_REMOVE                                              :{BLACK}削除
STR_PROGSIG_INSERT                                              :挿入
STR_PROGSIG_INSERT_IF                                           :状態
STR_PROGSIG_INSERT_SET_SIGNAL                                   :信号状態の設定
STR_PROGSIG_FIRST                                               :開始
STR_PROGSIG_LAST                                                :終了
STR_PROGSIG_IF                                                  :もし {STRING} ならば
STR_PROGSIG_ELSE                                                :でなければ
STR_PROGSIG_ENDIF                                               :分岐終了
STR_PROGSIG_SET_SIGNAL                                          :信号を {STRING} にする
STR_PROGSIG_COND_ALWAYS                                         :常にそうである
STR_PROGSIG_COND_NEVER                                          :絶対にそうならない
STR_PROGSIG_COND_COMPARE                                        :{STRING} {STRING} {NUM}
STR_PROGSIG_COND_SLOT_COMPARE                                   :{TRSLOT} の占有率が {STRING} {NUM}
STR_PROGSIG_COND_SLOT_COMPARE_INVALID                           :{PUSH_COLOUR}{RED}{STRING}{POP_COLOUR} の占有率が {STRING} {NUM}
STR_PROGSIG_COND_SLOT_REMAINING_COMPARE                         :{TRSLOT} の占有率の残りが {STRING} {NUM}
STR_PROGSIG_COND_SLOT_REMAINING_COMPARE_INVALID                 :{PUSH_COLOUR}{RED}{STRING}{POP_COLOUR} の占有率の残りが {STRING} {NUM}
STR_PROGSIG_COND_COUNTER_COMPARE                                :{TRCOUNTER} の値が {STRING} {NUM}
STR_PROGSIG_COND_COUNTER_COMPARE_INVALID                        :{PUSH_COLOUR}{RED}{STRING}{POP_COLOUR} の値が {STRING} {NUM}
STR_PROGSIG_COND_SIGNAL_STATE                                   :信号の状態
STR_PROGSIG_COND_SLOT                                           :スロット占有率
STR_PROGSIG_COND_SLOT_REMAINING                                 :スロット占有率の残り
STR_PROGSIG_COND_COUNTER                                        :カウンタ値
STR_PROGSIG_CONDVAR_SIGNAL_STATE_SPECIFIED                      :{NUM} x {NUM} にある信号が青
STR_PROGSIG_CONDVAR_SIGNAL_STATE_UNSPECIFIED                    :{PUSH_COLOUR}{RED}未指定の信号{POP_COLOUR} が青
STR_PROGSIG_CONDVAR_NUM_RED                                     :赤信号
STR_PROGSIG_CONDVAR_NUM_GREEN                                   :青信号
STR_PROGSIG_CONDITION_VALUE_CAPT                                :{WHITE}条件の値
STR_ERROR_CAN_T_INSERT_INSTRUCTION                              :{WHITE}命令を挿入できません
STR_ERROR_CAN_T_MODIFY_INSTRUCTION                              :{WHITE}命令を編集できません
STR_ERROR_CAN_T_REMOVE_INSTRUCTION                              :{WHITE}命令を削除できません
STR_ERROR_CAN_T_GOTO_UNDEFINED_SIGNAL                           :{WHITE}未指定の信号に飛ぶことはできません
STR_ERROR_NOT_AN_EXIT_SIGNAL                                    :{WHITE}出口信号ではありません
STR_ERROR_NOT_AN_PROG_SIGNAL                                    :{WHITE}プログラム可能な事前信号ではありません
STR_ERROR_CANNOT_USE_SELF                                       :{WHITE}自身の信号からコピーすることはできません
STR_ERROR_CAN_T_DEPEND_UPON_BIDIRECTIONAL_SIGNALS               :{WHITE}条件付きの双方向信号依存はできません
STR_ERROR_INVALID_SIGNAL                                        :{WHITE}不正な信号
STR_ROAD_TOOLBAR_TOOLTIP_CONVERT_ROAD_TO_WAYPOINT               :{BLACK}道路を通過点に変更します。Ctrl+クリックで離れた通過点と結合可能です。Shift+クリックで費用の見積が出ます
STR_ROAD_TOOLBAR_TOOLTIP_CONVERT_TRAM_TO_WAYPOINT               :{BLACK}軌道を通過点に変更します。Ctrl+クリックで離れた通過点と結合可能です。Shift+クリックで費用の見積が出ます
STR_WATERWAYS_TOOLBAR_CREATE_RIVER_IN_GAME_TOOLTIP              :{BLACK}河川の造成
STR_LANDSCAPING_TOOLTIP_RULER_TOOL                              :{BLACK}仮想ものさしを距離と高度の計測に使用する
STR_HOUSE_BUILD_CAPTION                                         :{WHITE}家屋の選択
STR_HOUSE_BUILD_CUSTOM_CAPTION                                  :{WHITE}{STRING}
STR_HOUSE_BUILD_HOUSESET_LIST_TOOLTIP                           :{BLACK}家屋セットの選択
STR_HOUSE_BUILD_SELECT_HOUSE_TOOLTIP                            :{BLACK}建設する家屋を選択
STR_HOUSE_BUILD_HOUSE_NAME                                      :{GOLD}{STRING}
STR_HOUSE_BUILD_HISTORICAL_BUILDING                             :{GOLD}(歴史的建造物)
STR_HOUSE_BUILD_HOUSE_POPULATION                                :{BLACK}人口: {GOLD}{NUM}
STR_HOUSE_BUILD_HOUSE_ZONES                                     :{BLACK}住宅地: {STRING} {STRING} {STRING} {STRING} {STRING}
STR_HOUSE_BUILD_HOUSE_ZONE_DISABLED                             :{GRAY}{NUM}
STR_HOUSE_BUILD_HOUSE_ZONE_ENABLED                              :{GOLD}{NUM}
STR_HOUSE_BUILD_LANDSCAPE                                       :{BLACK}ランドスケープ: {STRING}
STR_HOUSE_BUILD_LANDSCAPE_ABOVE_OR_BELOW_SNOWLINE               :{GOLD}雪線の上か下か
STR_HOUSE_BUILD_LANDSCAPE_ONLY_ABOVE_SNOWLINE                   :{GOLD}雪線の上のみ
STR_HOUSE_BUILD_LANDSCAPE_ONLY_BELOW_SNOWLINE                   :{GOLD}雪線の下のみ
STR_HOUSE_BUILD_YEARS                                           :{BLACK}築: {STRING}年{GOLD} - {STRING}
STR_HOUSE_BUILD_YEARS_BAD_YEAR                                  :{RED}{NUM}
STR_HOUSE_BUILD_YEARS_GOOD_YEAR                                 :{GOLD}{NUM}
STR_HOUSE_BUILD_SUPPLIED_CARGO                                  :{BLACK}供給: {GOLD}{CARGO_LIST}
STR_HOUSE_BUILD_ACCEPTED_CARGO                                  :{BLACK}受け入れ: {GOLD}{STRING}
STR_HOUSE_BUILD_CARGO_FIRST                                     :{STRING}
STR_HOUSE_BUILD_CARGO_SEPARATED                                 :, {STRING}
STR_HOUSE_BUILD_CARGO_VALUE_JUST_NAME                           :{1:STRING}
STR_HOUSE_BUILD_CARGO_VALUE_EIGHTS                              :({COMMA}/8 {STRING})
STR_BASIC_HOUSE_SET_NAME                                        :基本的な家屋
STR_SELECT_TOWN_CAPTION                                         :{WHITE}街の選択
STR_SELECT_TOWN_LIST_ITEM                                       :{BLACK}{TOWN}
STR_TREES_REMOVE_TREES_BUTTON                                   :{BLACK}すべての木を伐採
STR_TREES_REMOVE_TREES_TOOLTIP                                  :{BLACK}地形からすべての樹木を削除します
STR_TERRAFORM_PUBLIC_ROADS                                      :{BLACK}公道を造る
STR_TERRAFORM_PUBLIC_ROADS_TOOLTIP                              :{BLACK}マップの街のあいだに公道を造ります
STR_INDUSTRY_CARGOES_NOTIFY_SMALLMAP_ALL                        :すべての産業
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PROGSIGNALS                 :鉄道 (非電化) 信号付線路 (プログラム事前)
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_NORMAL_PROGSIGNALS          :鉄道 (非電化) 信号付線路 (閉塞+プログラム事前)
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PRE_PROGSIGNALS             :鉄道 (非電化) 信号付線路 (入口+プログラム事前)
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_EXIT_PROGSIGNALS            :鉄道 (非電化) 信号付線路 (出口+プログラム事前)
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_COMBO_PROGSIGNALS           :鉄道 (非電化) 信号付線路 (コンボ+プログラム事前)
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PBS_PROGSIGNALS             :鉄道 (非電化) 信号付線路 (パス+プログラム事前)
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_NOENTRY_PROGSIGNALS         :鉄道 (非電化) 信号付線路 (一方通行パス+プログラム事前)
STR_LAI_RAIL_DESCRIPTION_RESTRICTED_SIGNAL                      :{STRING} (制限付)
STR_LAI_TUNNEL_DESCRIPTION_RAILROAD_CHUNNEL                     :鉄道トンネル (海底)
STR_LAI_TUNNEL_DESCRIPTION_RAILROAD_SIGNAL                      :信号付き鉄道トンネル
STR_LAI_TUNNEL_DESCRIPTION_RAILROAD_SIGNAL_CHUNNEL              :信号付き鉄道トンネル (海底)
STR_LAI_TUNNEL_DESCRIPTION_ROAD_CHUNNEL                         :道路トンネル (海底)
STR_LAI_BRIDGE_DESCRIPTION_RAILROAD_SIGNAL                      :信号付き鉄道橋
STR_SAVELOAD_UNKNOWN_ID                                         :{YELLOW}このファイルはおそらく別のゲームのものです。
STR_SAVELOAD_DIFFERENT_ID                                       :{YELLOW}このファイルは別のゲームのものです。
STR_SAVELOAD_OVERWRITE_TITLE_DIFFERENT_ID                       :{WHITE}ファイルを上書き (別のゲーム)
STR_SAVELOAD_OVERWRITE_WARNING_DIFFERENT_ID                     :{YELLOW}本当に既存のファイルに上書きしますか？{}{}ファイルは別のゲームのものです。
STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK}雪線の位置:
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}雪線を上げる
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}雪線を下げる
STR_MAPGEN_RAINFOREST_LINE_HEIGHT                               :{BLACK}雨林線の位置:
STR_MAPGEN_RAINFOREST_LINE_UP                                   :{BLACK}雨林線を上げる
STR_MAPGEN_RAINFOREST_LINE_DOWN                                 :{BLACK}雨林線を下げる
STR_MAPGEN_TOO_MANY_TILES_MESSAGE                               :{YELLOW}マップのタイルが多すぎます。タイル数の最大値は {NUM} で、あなたは {NUM} に設定しました
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}雪線の位置を変更
STR_MAPGEN_RAINFOREST_LINE_QUERY_CAPT                           :{WHITE}雨林線の位置を変更
STR_GENERATION_PUBLIC_ROADS_GENERATION                          :{BLACK}公道を配置中
STR_NEWGRF_INSPECT_REFRESH                                      :{BLACK}R
STR_NEWGRF_INSPECT_REFRESH_TOOLTIP                              :{BLACK}フレーム毎にコンテンツを更新するか切り替えます
STR_NEWGRF_INSPECT_LOG_CONSOLE                                  :{BLACK}L
STR_NEWGRF_INSPECT_LOG_CONSOLE_TOOLTIP                          :{BLACK}このウィンドウのテキストコンテンツをコンソールにログ出力します
STR_NEWGRF_INSPECT_DUPLICATE                                    :{BLACK}D
STR_NEWGRF_INSPECT_DUPLICATE_TOOLTIP                            :{BLACK}このウィンドウを複製します
STR_NEWGRF_INSPECT_SPRITE_DUMP                                  :{BLACK}S
STR_NEWGRF_INSPECT_SPRITE_DUMP_TOOLTIP                          :{BLACK}現在のスプライトチェーンを表示します
STR_NEWGRF_INSPECT_SPRITE_DUMP_UNOPT                            :{BLACK}U
STR_NEWGRF_INSPECT_SPRITE_DUMP_UNOPT_TOOLTIP                    :{BLACK}スプライトグループを最適化の適用をせずに表示します。{}{}以前に有効化されていない場合NewGRFの再読み込みが必要です (misc_debug 10)。
STR_NEWGRF_INSPECT_SPRITE_DUMP_GOTO                             :{BLACK}G
STR_NEWGRF_INSPECT_SPRITE_DUMP_GOTO_TOOLTIP                     :{BLACK}スプライト番号にスクロールします
STR_NEWGRF_INSPECT_SPRITE_DUMP_PANEL_TOOLTIP                    :{BLACK}クリックでスプライトグループをハイライトします{}Shift+クリックでスプライトグループを畳みます{}Ctrl+クリックで一時ストレージレジスタをハイライトします
STR_NEWGRF_INSPECT_CAPTION_OBJECT_AT_ROAD_TYPE                  :道路/軌道の種類
STR_NEWGRF_ERROR_UNIMPLEMETED_MAPPED_FEATURE_ID                 :未実装の再マップされた機能ID: 名称: {2:STRING}, 次にマップされています: {5:HEX} (スプライト {3:NUM})
STR_NEWGRF_ERROR_UNIMPLEMETED_MAPPED_PROPERTY                   :未実装の再マップされたアクション0プロパティ機能: {4:HEX}, 名前: {2:STRING}, 次にマップされています: {5:HEX} (スプライト {3:NUM})
STR_NEWGRF_ERROR_UNIMPLEMETED_MAPPED_ACTION5_TYPE               :未実装の再マップされたアクション5タイプ: 名前: {2:STRING}, 次にマップされています: {4:HEX} (スプライト {3:NUM})
STR_NEWGRF_TOO_MANY_STRINGS                                     :{WHITE}すべてのNewGRFで利用する文字列IDが不足しています。
STR_NEWGRF_TOO_MANY_STRINGS_DETAIL                              :{WHITE}いくつかの名前やテキストのは正しく表示されない可能性があります。使用するNewGRFの数を減らしてみてください。
STR_TOWN_VIEW_NOISE_IN_TOWN_NO_LIMIT                            :{BLACK}騒音量: {ORANGE}{COMMA}
STR_STATION_VIEW_DEPARTURES_BUTTON                              :{BLACK}発車標
STR_STATION_VIEW_DEPARTURES_TOOLTIP                             :{BLACK}発車標を表示します。
STR_STATION_VIEW_HISTORY_BUTTON                                 :{BLACK}履歴
STR_STATION_VIEW_HISTORY_TOOLTIP                                :{BLACK}待機貨物の履歴を表示します
STR_DEPARTURES_CAPTION                                          :{WHITE}{STATION} 発車標
STR_DEPARTURES_CAPTION_WAYPOINT                                 :{WHITE}{WAYPOINT} 発車標
STR_DEPARTURES_PAX                                              :{BLACK}{TINY_FONT}旅客
STR_DEPARTURES_FREIGHT                                          :{BLACK}{TINY_FONT}貨物
STR_DEPARTURES_DEPARTURES                                       :{BLACK}{TINY_FONT}発車
STR_DEPARTURES_ARRIVALS                                         :{BLACK}{TINY_FONT}到着
STR_DEPARTURES_VIA_BUTTON                                       :{BLACK}{TINY_FONT}経由
STR_DEPARTURES_PAX_TOOLTIP                                      :{BLACK}旅客を運搬できる車両を表示
STR_DEPARTURES_FREIGHT_TOOLTIP                                  :{BLACK}貨物を運搬できる車両を表示
STR_DEPARTURES_DEPARTURES_TOOLTIP                               :{BLACK}発車ダイヤを表示
STR_DEPARTURES_ARRIVALS_TOOLTIP                                 :{BLACK}到着ダイヤを表示
STR_DEPARTURES_VIA_TOOLTIP                                      :{BLACK}通過車両を表示
STR_DEPARTURES_EMPTY                                            :{ORANGE}現在、ダイヤを設定している車両はありません。
STR_DEPARTURES_NONE_SELECTED                                    :{ORANGE}発車標が設定されていません。
STR_DEPARTURES_TIME                                             :{ORANGE}{DATE_WALLCLOCK_TINY}
STR_DEPARTURES_TIME_DEP                                         :{ORANGE}{DATE_WALLCLOCK_TINY} {GREEN}{UP_ARROW}
STR_DEPARTURES_TIME_ARR                                         :{ORANGE}{DATE_WALLCLOCK_TINY} {RED}{DOWN_ARROW}
STR_DEPARTURES_TIME_BOTH                                        :{ORANGE}{1:DATE_WALLCLOCK_TINY} {RED}{DOWN_ARROW} {ORANGE}{0:DATE_WALLCLOCK_TINY} {GREEN}{UP_ARROW}
STR_DEPARTURES_TERMINUS                                         :{ORANGE}{STATION}{STRING}
STR_DEPARTURES_TERMINUS_VIA_STATION                             :{ORANGE}{STATION}{STRING} 経由 {STRING}経由
STR_DEPARTURES_TERMINUS_VIA                                     :{ORANGE}{STATION}{STRING} 経由
STR_DEPARTURES_VIA                                              :{ORANGE}{STRING} 経由
STR_DEPARTURES_TOC                                              :{ORANGE}{COMPANY}
STR_DEPARTURES_GROUP                                            :{ORANGE}{GROUP}
STR_DEPARTURES_VEH                                              :{ORANGE}{VEHICLE}
STR_DEPARTURES_CALLING_AT                                       :{TINY_FONT}{ORANGE}停車場:
STR_DEPARTURES_CALLING_AT_FIRST_STATION                         :{STATION}
STR_DEPARTURES_CALLING_AT_STATION                               :{STRING}, {STATION}
STR_DEPARTURES_CALLING_AT_LAST_STATION                          :{STRING} 終点、{STATION}でございます
STR_DEPARTURES_CALLING_AT_LIST                                  :{TINY_FONT}{ORANGE}{STRING}.
STR_DEPARTURES_CALLING_AT_LIST_SMART_TERMINUS                   :{TINY_FONT}{ORANGE}{STRING}. 続きまして {STATION}.
STR_DEPARTURES_TYPE_TRAIN                                       :{ORANGE}{TRAIN}
STR_DEPARTURES_TYPE_TRAIN_SILVER                                :{SILVER}{TRAIN}
STR_DEPARTURES_TYPE_BUS                                         :{ORANGE}{BUS}
STR_DEPARTURES_TYPE_BUS_SILVER                                  :{SILVER}{BUS}
STR_DEPARTURES_TYPE_LORRY                                       :{ORANGE}{LORRY}
STR_DEPARTURES_TYPE_LORRY_SILVER                                :{SILVER}{LORRY}
STR_DEPARTURES_TYPE_PLANE                                       :{ORANGE}{PLANE}
STR_DEPARTURES_TYPE_PLANE_SILVER                                :{SILVER}{PLANE}
STR_DEPARTURES_TYPE_SHIP                                        :{ORANGE}{SHIP}
STR_DEPARTURES_TYPE_SHIP_SILVER                                 :{SILVER}{SHIP}
STR_DEPARTURES_STATION_NONE                                     :
STR_DEPARTURES_STATION_PORT                                     :{ORANGE} {SHIP}
STR_DEPARTURES_STATION_AIRPORT                                  :{ORANGE} {PLANE}
STR_DEPARTURES_STATION_PORTAIRPORT                              :{ORANGE} {SHIP} {PLANE}
STR_DEPARTURES_ON_TIME                                          :{GREEN}定時
STR_DEPARTURES_ARRIVED                                          :{GREEN}到着しました
STR_DEPARTURES_DELAYED                                          :{YELLOW}遅れています
STR_DEPARTURES_EXPECTED                                         :{YELLOW} {DATE_WALLCLOCK_TINY}見込み
STR_DEPARTURES_CANCELLED                                        :{RED}運休
STR_CONFIG_SETTING_DEPARTUREBOARDS                              :{ORANGE}発車標
STR_CONFIG_MAX_DEPARTURES                                       :各駅の発車標に最大 {STRING} 便表示する
STR_CONFIG_MAX_DEPARTURES_HELPTEXT                              :発車標に表示する最大件数を設定します
STR_CONFIG_MAX_DEPARTURE_TIME                                   :直近 {STRING} 日分先の便まで表示する
STR_CONFIG_MAX_DEPARTURE_TIME_HELPTEXT                          :どれだけ先の便を表示するかを日数で指定します
STR_CONFIG_DEPARTURE_CALC_FREQUENCY                             :発車標の表示更新タイミング:{STRING} ティック
STR_CONFIG_DEPARTURE_CALC_FREQUENCY_HELPTEXT                    :発車標の表示を更新するタイミングをティック以内に設定します。
STR_CONFIG_DEPARTURE_VEHICLE_NAME                               :発車標にて担当車両を表示: {STRING}
STR_CONFIG_DEPARTURE_VEHICLE_NAME_HELPTEXT                      :発車標にて、担当する車両名を表示します。
STR_CONFIG_DEPARTURE_GROUP_NAME                                 :発車標にて車両グループを表示: {STRING}
STR_CONFIG_DEPARTURE_GROUP_NAME_HELPTEXT                        :発車標にて、設定した車両のグループを表示します。
STR_CONFIG_DEPARTURE_COMPANY_NAME                               :発車標にて会社名を表示: {STRING}
STR_CONFIG_DEPARTURE_COMPANY_NAME_HELPTEXT                      :発車標にて、運行する会社を表示します。
STR_CONFIG_DEPARTURE_VEHICLE_TYPE                               :発車標にて輸送機器の種類アイコンを表示: {STRING}
STR_CONFIG_DEPARTURE_VEHICLE_TYPE_HELPTEXT                      :発車標にて、輸送機器の種類アイコンを表示します。
STR_CONFIG_DEPARTURE_VEHICLE_COLOR                              :発車標にて輸送機器の種類アイコンを白色で表示: {STRING}
STR_CONFIG_DEPARTURE_VEHICLE_COLOR_HELPTEXT                     :発車標にて、輸送機器の種類アイコンを白色で表示します。
STR_CONFIG_DEPARTURE_LARGER_FONT                                :発車標の停車場案内を大きいめフォントでの表示: {STRING}
STR_CONFIG_DEPARTURE_LARGER_FONT_HELPTEXT                       :発車標に表示されている停車場案内を通常より大きいめのフォントで表示します。
STR_CONFIG_DEPARTURE_DESTINATION_TYPE                           :発車標にて行先が港湾や空港の場合はアイコンを表示: {STRING}
STR_CONFIG_DEPARTURE_DESTINATION_TYPE_HELPTEXT                  :発車標にて、行先が港湾や空港の場合は、船や飛行機のアイコンを表示します。
STR_CONFIG_DEPARTURE_SHOW_BOTH                                  :到着時刻と出発時刻を同じ行に表示: {STRING}
STR_CONFIG_DEPARTURE_SHOW_BOTH_HELPTEXT                         :発車標にて、到着時刻と出発時刻の双方を同じ行に表示します。
STR_CONFIG_DEPARTURE_ONLY_PASSENGERS                            :発車標を旅客車両のみ表示: {STRING}
STR_CONFIG_DEPARTURE_ONLY_PASSENGERS_HELPTEXT                   :発車標を、旅客を運搬できる車両のみ表示します。
STR_CONFIG_DEPARTURE_SMART_TERMINUS                             :後発の輸送機器でより早く到達可能な終点を表示しない: {STRING}
STR_CONFIG_DEPARTURE_SMART_TERMINUS_HELPTEXT                    :遅く出発する別の輸送機器でより早く到達できる終点を表示しません。
STR_CONFIG_DEPARTURE_CONDITIONALS                               :条件付き指令ジャンプを: {STRING}
STR_CONFIG_DEPARTURE_CONDITIONALS_HELPTEXT                      :発車標の計算時に条件付き指令をどのように処理するか選択します。
STR_CONFIG_DEPARTURE_CONDITIONALS_1                             :処理しない
STR_CONFIG_DEPARTURE_CONDITIONALS_2                             :条件の結果が真であると仮定して処理する
STR_CONFIG_DEPARTURE_CONDITIONALS_3                             :条件の結果が偽であると仮定して処理する
STR_CONFIG_DEPARTURE_SHOW_ALL_STOPS                             :発車標の停車場案内に運転停車の停車場を含む: {STRING}
STR_CONFIG_DEPARTURE_SHOW_ALL_STOPS_HELPTEXT                    :発車標に表示されている停車場案内に運転停車の停車場を含めて表示します。
STR_CONFIG_DEPARTURE_MERGE_IDENTICAL                            :発車標で同一のものをまとめる: {STRING}
